Papel,Segmento,Cotacao,FFOYield,DividendYield,P/VP,ValorMercado,Liquidez,QuantidadeDeImoveis,PrecoPorM2,AlugelPorM2,CapRate,VacanciaMedia
CNES11,Lajes Corporativas,"38,42","4,33%","4,88%","0,44",113.310.000,14.793,1,"1.615,86","184,24","11,40%","55,70%"
CORM11,Híbrido,"108,44","2,05%","3,07%","1,11",99.472.400,1.083.360,3,"8.615,69","169,42","1,97%","0,00%"
CPFF11,Títulos e Val. Mob.,"80,60","2,22%","10,25%","0,99",320.286.000,1.135.800,0,"0,00","0,00","0,00%","0,00%"
CPTS11,Títulos e Val. Mob.,"98,40","0,61%","11,52%","1,03",2.536.890.000,10.462.400,0,"0,00","0,00","0,00%","0,00%"
CRFF11,Títulos e Val. Mob.,"70,00","7,81%","7,47%","0,77",48.302.800,33.954,0,"0,00","0,00","0,00%","0,00%"
CTXT11,Lajes Corporativas,"22,25","11,42%","9,11%","0,46",57.722.700,11.442,1,"1.247,15","226,16","18,13%","96,25%"
CVBI11,Títulos e Val. Mob.,"102,00","5,40%","12,51%","1,02",1.011.530.000,3.263.800,0,"0,00","0,00","0,00%","0,00%"
CXCE11B,Lajes Corporativas,"50,49","22,35%","23,77%","0,62",86.486.800,128.090,1,"4.145,41","1.034,64","24,96%","0,00%"
CXCO11,Lajes Corporativas,"95,00","1,95%","3,46%","0,95",372.827.000,438.857,10,"4.050,97","91,38","2,26%","0,00%"
CXRI11,Títulos e Val. Mob.,"73,50","8,55%","9,81%","0,79",115.818.000,65.747,0,"0,00","0,00","0,00%","0,00%"
CXTL11,Logística,"402,88","0,35%","21,32%","0,63",21.593.200,15.200,3,"1.105,61","138,18","12,50%","65,15%"
DEVA11,Títulos e Val. Mob.,"104,22","4,36%","12,72%","1,05",1.140.900.000,4.473.340,0,"0,00","0,00","0,00%","0,00%"
DMAC11,Residencial,"9,76","-990,35%","827,12%","1,09",1.523.610,21.020,0,"0,00","0,00","0,00%","0,00%"
DOMC11,Lajes Corporativas,"439,00","0,28%","0,00%","3,97",1.072.830.000,0,1,"28.393,40","227,61","0,80%","36,17%"
DOVL11B,Lajes Corporativas,"931,32","-2,65%","0,96%","0,81",58.000.700,0,2,"3.349,94","340,27","10,16%","63,77%"
DRIT11B,Lajes Corporativas,"109,19","4,99%","3,89%","0,83",50.585.200,1.179,6,"8.557,90","712,41","8,32%","2,82%"
EDFO11B,Lajes Corporativas,"245,00","8,74%","6,99%","1,15",57.820.000,16.148,1,"163.181,00","15.711,93","9,63%","0,00%"
EDGA11,Lajes Corporativas,"26,03","5,11%","6,98%","0,33",99.227.800,56.214,1,"3.942,81","369,57","9,37%","48,13%"
ELDO11B,Shoppings,"1.104,31","3,96%","2,04%","0,89",869.375.000,0,1,"11.491,60","634,32","5,52%","1,94%"
EQIN11,Títulos e Val. Mob.,"92,00","4,98%","0,93%","0,98",132.661.000,231.059,0,"0,00","0,00","0,00%","0,00%"
ERCR11,Híbrido,"73.900,00","4,05%","26,44%","0,91",175.586.000,1.220.270,0,"0,00","0,00","0,00%","0,00%"
EURO11,Logística,"205,99","6,24%","8,06%","0,73",79.087.000,69.607,7,"667,54","55,91","8,38%","0,00%"
EVBI11,Híbrido,"99,99","3,76%","4,48%","0,99",108.235.000,2.889,2,"0,00","0,00","5,82%","0,00%"
FAED11,Outros,"150,15","9,96%","9,69%","0,70",96.421.500,78.321,3,"2.536,64","276,55","10,90%","0,00%"
FAMB11B,Lajes Corporativas,"1.168,48","17,50%","5,14%","0,34",122.457.000,57.462,1,"1.984,17","640,85","32,30%","100,00%"
FATN11,Híbrido,"103,39","5,69%","7,21%","1,03",73.864.200,79.810,11,"26.102,70","1.770,84","6,78%","0,00%"
FCFL11,Outros,"112,64","6,38%","6,40%","1,11",391.312.000,386.460,1,"12.616,80","905,79","7,18%","0,00%"
FEXC11,Títulos e Val. Mob.,"87,99","4,14%","9,10%","0,94",537.048.000,708.206,0,"0,00","0,00","0,00%","0,00%"
FFCI11,Lajes Corporativas,"182,03","3,81%","0,00%","0,92",671.817.000,0,10,"14.502,10","719,58","4,96%","7,54%"
FIGS11,Shoppings,"58,64","3,97%","4,91%","0,62",167.124.000,280.328,2,"2.591,57","124,32","4,80%","12,22%"
FIIB11,Híbrido,"475,25","7,47%","7,62%","1,07",325.546.000,345.259,11,"578,28","49,08","8,49%","0,74%"
FIIP11B,Híbrido,"182,00","4,62%","7,08%","0,91",168.743.000,113.762,7,"2.365,74","142,60","6,03%","0,00%"
FISC11,Lajes Corporativas,"165,00","0,62%","0,78%","1,06",271.081.000,0,4,"28.822,40","533,52","1,85%","62,68%"
FIXX11,Títulos e Val. Mob.,"85,78","3,36%","0,00%","1,20",321.608.000,0,0,"0,00","0,00","0,00%","0,00%"
FLCR11,Títulos e Val. Mob.,"101,10","7,72%","6,61%","1,00",50.550.000,86.184,0,"0,00","0,00","0,00%","0,00%"
FLMA11,Híbrido,"131,50","4,10%","3,97%","0,85",181.558.000,145.483,1,"10.301,30","571,55","5,55%","0,00%"
FLRP11,Shoppings,"1.298,00","4,34%","4,14%","0,78",84.671.100,17.667,1,"2.282,93","93,60","4,10%","1,68%"
